Scenario,Barangay_ID,Barangay_Name,Hazard_Level,FA_Allocated,FA_Ideal,EFA_Allocated,EFA_Ideal,FA_Solution_Quality,EFA_Solution_Quality,Percentage_Change
1,STA_CRUZ,Brgy. Sta. Cruz,Medium,84,4,116,4,20.0,28.0,40.0
1,STA_LUCIA,Brgy. Sta. Lucia,Low,88,15,173,15,4.87,10.53,116.22
1,STA_MONICA,Brgy. Sta. Monica,Medium,481,52,245,52,8.25,3.71,-55.03
1,STA_TERESITA,Brgy. Sta. Teresita,Medium,75,12,195,12,5.25,15.25,190.48
1,STO_CRISTO,Brgy. Sto. Cristo,Medium,328,26,190,26,11.62,6.31,-45.7
1,STO_DOMINGO,Brgy. Sto. Domingo,Medium,232,12,116,12,18.33,8.67,-52.7
1,STO_NINO,Brgy. Sto. Nino,Medium,202,8,211,8,24.25,25.38,4.66
1,TAGUMPAY,Brgy. Tagumpay,Low,186,2,174,2,92.0,86.0,-6.52
1,TALAYAN,Brgy. Talayan,Medium,177,5,194,5,34.4,37.8,9.88
1,TALIPAPA,Brgy. Talipapa,Low,192,20,100,20,8.6,4.0,-53.49
1,TANDANG_SORA,Brgy. Tandang Sora,Low,606,42,373,42,13.43,7.88,-41.33
1,TATALON,Brgy. Tatalon,Medium,217,56,419,56,2.88,6.48,125.0
1,TEACHERS_VILLAGE_EAST,Brgy. Teachers Village East,Low,149,2,119,2,73.5,58.5,-20.41
1,TEACHERS_VILLAGE_WEST,Brgy. Teachers Village West,Low,64,2,183,2,31.0,90.5,191.94
1,UGONG_NORTE,Brgy. Ugong Norte,None,0,0,0,0,1.0,1.0,0.0
1,UNANG_SIGAW,Brgy. Unang Sigaw,Low,115,4,22,4,27.75,4.5,-83.78
1,UP_CAMPUS,Brgy. UP Campus,Medium,568,48,261,48,10.83,4.44,-59.0
1,UP_VILLAGE,Brgy. UP Village,Medium,176,4,164,4,43.0,40.0,-6.98
1,VALENCIA,Brgy. Valencia,Medium,36,11,134,11,2.27,11.18,392.51
1,VASRA,Brgy. Vasra,Medium,170,8,81,8,20.25,9.13,-54.91
1,VETERANS_VILLAGE,Brgy. Veterans Village,Low,273,7,83,7,38.0,10.86,-71.42
1,VILLA_MARIA_CLARA,Brgy. Villa Maria Clara,Low,136,2,76,2,67.0,37.0,-44.78
1,WEST_KAMIAS,Brgy. West Kamias,Medium,138,5,66,5,26.6,12.2,-54.14
1,WEST_TRIANGLE,Brgy. West Triangle,Low,94,2,168,2,46.0,83.0,80.43
1,WHITE_PLAINS,Brgy. White Plains,Low,86,2,93,2,42.0,45.5,8.33
2,ALICIA,Brgy. Alicia,Medium,27,7,206,7,2.86,28.43,894.06
2,AMIHAN,Brgy. Amihan,Medium,55,4,114,4,12.75,27.5,115.69
2,APOLONIO_SAMSON,Brgy. Apolonio Samson,Medium,195,34,221,34,4.74,5.5,16.03
2,BAESA,Brgy. Baesa,Medium,434,56,393,56,6.75,6.02,-10.81
2,BAGBAG,Brgy. Bagbag,High,341,130,324,130,1.62,1.49,-8.02
2,BAGONG_LIPUNAN_NG_CRAME,Brgy. Bagong Lipunan ng Crame,Medium,215,14,242,14,14.36,16.29,13.44
2,BAGONG_PAG_ASA,Brgy. Bagong Pag-asa,Medium,442,30,160,30,13.73,4.33,-68.46
2,BAGONG_SILANGAN,Brgy. Bagong Silangan,Medium,459,107,312,107,3.29,1.92,-41.64
2,BAGUMBAYAN,Brgy. Bagumbayan,Medium,133,23,98,23,4.78,3.26,-31.8
2,BAGUMBUHAY,Brgy. Bagumbuhay,None,0,0,0,0,1.0,1.0,0.0
2,BAHAY_TORO,Brgy. Bahay Toro,Medium,235,60,264,60,2.92,3.4,16.44
2,BALINGASA,Brgy. Balingasa,Medium,280,20,260,20,13.0,12.0,-7.69
2,BALUMBATO,Brgy. Balumbato,Medium,226,7,167,7,31.29,22.86,-26.94
2,BATASAN_HILLS,Brgy. Batasan Hills,Medium,541,167,462,167,2.24,1.77,-20.98
2,BAYANIHAN,Brgy. Bayanihan,Medium,114,1,176,1,113.0,175.0,54.87
2,BLUE_RIDGE_A,Brgy. Blue Ridge A,None,0,0,0,0,1.0,1.0,0.0
2,BLUE_RIDGE_B,Brgy. Blue Ridge B,Medium,114,2,90,2,56.0,44.0,-21.43
2,BOTOCAN,Brgy. Botocan,Medium,135,8,158,8,15.88,18.75,18.07
2,BUNGAD,Brgy. Bungad,Medium,228,8,180,8,27.5,21.5,-21.82
2,CAMP_AGUINALDO,Brgy. Camp Aguinaldo,Medium,116,4,63,4,28.0,14.75,-47.32
2,CAPRI,Brgy. Capri,Medium,179,13,247,13,12.77,18.0,40.96
2,CENTRAL,Brgy. Central,Low,115,10,323,10,10.5,31.3,198.1
2,COMMONWEALTH,Brgy. Commonwealth,Low,119,107,541,107,0.11,4.06,3590.88
2,CULIAT,Brgy. Culiat,Medium,582,68,207,68,7.56,2.04,-73.02
